trial_id,model,pca_k,pca_cache,params_json,label,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,fit_seconds
1,SVM,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""C"": 0.001, ""calibrate_probabilities"": false}",C=0.001 cal=False,0.9988998899889989,0.9989063233808761,0.9988998899889989,0.9988994582393843,0.764102564102564,0.7730408310579668,0.764102564102564,0.7660651217395267,10.1677
2,SVM,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""C"": 0.001, ""calibrate_probabilities"": true}",C=0.001 cal=True,0.933993399339934,0.9448582927728113,0.933993399339934,0.9279506222078888,0.8205128205128205,0.8268794326241135,0.8205128205128205,0.8016080182341083,22.7761
3,SVM,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""C"": 0.01, ""calibrate_probabilities"": false}",C=0.01 cal=False,1.0,1.0,1.0,1.0,0.7589743589743589,0.7742354862761,0.7589743589743589,0.7644582915647123,22.5484
4,SVM,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""C"": 0.01, ""calibrate_probabilities"": true}",C=0.01 cal=True,0.9405940594059405,0.9501423992503932,0.9405940594059405,0.9358087039959057,0.8153846153846154,0.8110265098414919,0.8153846153846154,0.7937820358636838,10.865
5,SVM,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""C"": 0.1, ""calibrate_probabilities"": false}",C=0.1 cal=False,1.0,1.0,1.0,1.0,0.7435897435897436,0.759324404525643,0.7435897435897436,0.7489948114653071,39.1522
6,SVM,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""C"": 0.1, ""calibrate_probabilities"": true}",C=0.1 cal=True,0.9405940594059405,0.9501423992503932,0.9405940594059405,0.9358087039959057,0.8153846153846154,0.8110265098414919,0.8153846153846154,0.7937820358636838,4.3872
7,SVM,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""C"": 1.0, ""calibrate_probabilities"": false}",C=1.0 cal=False,1.0,1.0,1.0,1.0,0.7435897435897436,0.759324404525643,0.7435897435897436,0.7489948114653071,39.2948
8,SVM,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""C"": 1.0, ""calibrate_probabilities"": true}",C=1.0 cal=True,0.9405940594059405,0.9501423992503932,0.9405940594059405,0.9358087039959057,0.8153846153846154,0.8110265098414919,0.8153846153846154,0.7937820358636838,4.3714
9,SVM,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""C"": 10.0, ""calibrate_probabilities"": false}",C=10.0 cal=False,1.0,1.0,1.0,1.0,0.7435897435897436,0.759324404525643,0.7435897435897436,0.7489948114653071,38.1605
10,SVM,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""C"": 10.0, ""calibrate_probabilities"": true}",C=10.0 cal=True,0.9405940594059405,0.9501423992503932,0.9405940594059405,0.9358087039959057,0.8153846153846154,0.8110265098414919,0.8153846153846154,0.7937820358636838,3.8822
11,RF,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""max_depth"": null, ""n_estimators"": 100}",n=100 md=None,1.0,1.0,1.0,1.0,0.676923076923077,0.6557522193509308,0.676923076923077,0.6378277532263386,0.3004
12,RF,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""max_depth"": 5, ""n_estimators"": 100}",n=100 md=5,0.8074807480748075,0.833418810473606,0.8074807480748075,0.7757970682543496,0.6461538461538462,0.5494235234072632,0.6461538461538462,0.5896040978105143,0.2269
13,RF,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""max_depth"": 10, ""n_estimators"": 100}",n=100 md=10,1.0,1.0,1.0,1.0,0.6564102564102564,0.6056850751362008,0.6564102564102564,0.6119032667020047,0.2309
14,RF,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""max_depth"": 15, ""n_estimators"": 100}",n=100 md=15,1.0,1.0,1.0,1.0,0.6717948717948717,0.581597889290197,0.6717948717948717,0.6202023196912972,0.231
15,RF,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""max_depth"": null, ""n_estimators"": 200}",n=200 md=None,1.0,1.0,1.0,1.0,0.6871794871794872,0.6684801084801085,0.6871794871794872,0.6417670979288724,0.4475
16,RF,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""max_depth"": 5, ""n_estimators"": 200}",n=200 md=5,0.8305830583058306,0.851655752805125,0.8305830583058306,0.8025408759558411,0.6461538461538462,0.5545359856569624,0.6461538461538462,0.588923847327922,0.4206
17,RF,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""max_depth"": 10, ""n_estimators"": 200}",n=200 md=10,1.0,1.0,1.0,1.0,0.6923076923076923,0.7349136665803333,0.6923076923076923,0.6436547400465708,0.4244
18,RF,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""max_depth"": 15, ""n_estimators"": 200}",n=200 md=15,1.0,1.0,1.0,1.0,0.6820512820512821,0.590874955012886,0.6820512820512821,0.6286364176488709,0.4318
19,RF,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""max_depth"": null, ""n_estimators"": 400}",n=400 md=None,1.0,1.0,1.0,1.0,0.6871794871794872,0.7329625929625929,0.6871794871794872,0.6387935256291455,0.9161
20,RF,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""max_depth"": 5, ""n_estimators"": 400}",n=400 md=5,0.8316831683168316,0.8524314230451213,0.8316831683168316,0.8017892924688312,0.6461538461538462,0.5562173827395706,0.6461538461538462,0.5896748019928311,0.8325
21,RF,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""max_depth"": 10, ""n_estimators"": 400}",n=400 md=10,1.0,1.0,1.0,1.0,0.7128205128205128,0.7523316490796165,0.7128205128205128,0.6686939667501915,0.8289
22,RF,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""max_depth"": 15, ""n_estimators"": 400}",n=400 md=15,1.0,1.0,1.0,1.0,0.6923076923076923,0.7384152846155413,0.6923076923076923,0.6440954908557609,0.8307
23,XGBOOST,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 25}",nt=25 d=2 lr=0.05,0.6303630363036303,0.6748420327490672,0.6303630363036303,0.5894540640521476,0.5794871794871795,0.5006857717445953,0.5794871794871795,0.5270557905867801,0.4576
24,XGBOOST,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 25}",nt=25 d=2 lr=0.1,0.7315731573157316,0.7507983172746703,0.7315731573157316,0.7167509721750595,0.6102564102564103,0.5601521880591648,0.6102564102564103,0.5679836469000555,0.3612
25,XGBOOST,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 25}",nt=25 d=4 lr=0.05,0.9328932893289329,0.9364589536123998,0.9328932893289329,0.9324168307484474,0.6307692307692307,0.5821526935618616,0.6307692307692307,0.5884578936654009,0.7195
26,XGBOOST,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 25}",nt=25 d=4 lr=0.1,0.9823982398239824,0.9826288176208094,0.9823982398239824,0.9823745063071717,0.6358974358974359,0.6053535453278713,0.6358974358974359,0.6040821264885774,1.1493
27,XGBOOST,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 25}",nt=25 d=6 lr=0.05,1.0,1.0,1.0,1.0,0.6205128205128205,0.5703327579189649,0.6205128205128205,0.5775665179726548,1.3607
28,XGBOOST,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 25}",nt=25 d=6 lr=0.1,1.0,1.0,1.0,1.0,0.6564102564102564,0.6283681315823616,0.6564102564102564,0.6289021222998072,1.1619
29,XGBOOST,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 50}",nt=50 d=2 lr=0.05,0.7337733773377337,0.7529496213393772,0.7337733773377337,0.7176021597887209,0.6102564102564103,0.5624970915352041,0.6102564102564103,0.5674062469383643,0.9381
30,XGBOOST,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 50}",nt=50 d=2 lr=0.1,0.8558855885588559,0.8614297099194512,0.8558855885588559,0.854088124500938,0.6615384615384615,0.6429115551648544,0.6615384615384615,0.6350754596619258,0.4654
31,XGBOOST,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 50}",nt=50 d=4 lr=0.05,0.988998899889989,0.9891205886790732,0.988998899889989,0.9890130523416778,0.676923076923077,0.6458919523198384,0.676923076923077,0.6455434884482187,2.7384
32,XGBOOST,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 50}",nt=50 d=4 lr=0.1,0.9988998899889989,0.9989042728974094,0.9988998899889989,0.9988989430890346,0.6974358974358974,0.6697223244591666,0.6974358974358974,0.6708570731409748,1.2162
33,XGBOOST,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 50}",nt=50 d=6 lr=0.05,1.0,1.0,1.0,1.0,0.6564102564102564,0.6281623408038502,0.6564102564102564,0.6295810577236468,2.4227
34,XGBOOST,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 50}",nt=50 d=6 lr=0.1,1.0,1.0,1.0,1.0,0.6871794871794872,0.6742671124612918,0.6871794871794872,0.668549082703292,1.9935
35,XGBOOST,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 100}",nt=100 d=2 lr=0.05,0.8591859185918592,0.8626193459131212,0.8591859185918592,0.857281936698864,0.6717948717948717,0.6437268980945643,0.6717948717948717,0.6397747052358264,0.8246
36,XGBOOST,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 100}",nt=100 d=2 lr=0.1,0.9691969196919692,0.9694176854789719,0.9691969196919692,0.9691912720751654,0.7076923076923077,0.7002294518934454,0.7076923076923077,0.6834695300719656,0.9008
37,XGBOOST,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 100}",nt=100 d=4 lr=0.05,1.0,1.0,1.0,1.0,0.717948717948718,0.6953627621571873,0.717948717948718,0.6906346056731166,3.0886
38,XGBOOST,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100}",nt=100 d=4 lr=0.1,1.0,1.0,1.0,1.0,0.7230769230769231,0.7088448731758014,0.7230769230769231,0.6987389329062662,2.2194
39,XGBOOST,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 100}",nt=100 d=6 lr=0.05,1.0,1.0,1.0,1.0,0.6923076923076923,0.6670656916625918,0.6923076923076923,0.665081325052337,3.8039
40,XGBOOST,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 100}",nt=100 d=6 lr=0.1,1.0,1.0,1.0,1.0,0.7076923076923077,0.6950932381399954,0.7076923076923077,0.6866012375753996,3.2747
41,XGBOOST,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",nt=200 d=2 lr=0.05,0.9713971397139713,0.9714559025527985,0.9713971397139713,0.9713620076372504,0.717948717948718,0.713541938287701,0.717948717948718,0.696329438026843,5.1772
42,XGBOOST,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200}",nt=200 d=2 lr=0.1,1.0,1.0,1.0,1.0,0.7384615384615385,0.7231752003648232,0.7384615384615385,0.7180809971458667,2.0117
43,XGBOOST,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200}",nt=200 d=4 lr=0.05,1.0,1.0,1.0,1.0,0.7333333333333333,0.7172696422462019,0.7333333333333333,0.707907864891591,9.0684
44,XGBOOST,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 200}",nt=200 d=4 lr=0.1,1.0,1.0,1.0,1.0,0.7384615384615385,0.7312958296763964,0.7384615384615385,0.7215574453391904,3.8961
45,XGBOOST,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 200}",nt=200 d=6 lr=0.05,1.0,1.0,1.0,1.0,0.7230769230769231,0.7048237445580767,0.7230769230769231,0.69712712705679,6.96
46,XGBOOST,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200}",nt=200 d=6 lr=0.1,1.0,1.0,1.0,1.0,0.7230769230769231,0.7067070341795616,0.7230769230769231,0.7041941758421759,6.4818
